Cava,Puntuació,id,Municipi,id_cava,Comarca,Província,Població
Eloqüent - (Covides),209.91,228151,Vilafranca del Penedès,8422,Alt Penedès,Barcelona,40154
Nitus,209.73,460,Sant Sadurní d'Anoia,410,Alt Penedès,Barcelona,12841
Colom - Restauració,209.7,11726,,3,,,
Mont Carmany,209.46,9153,Bell-lloc d'Urgell,427,Pla d'Urgell,Lleida,2335
Celler Roca Grossa,209.04,13365,Lloret de Mar,3548,Selva,Girona,39089
Castell de Leonard,208.99,5891,Piera,715,Anoia,Barcelona,16134
Vinya Le Boixet,208.93,3880,Sant Llorenç d'Hortons,564,Alt Penedès,Barcelona,2428
Pacto de Familia,208.66,43870,Sant Llorenç d'Hortons,608,Alt Penedès,Barcelona,2428
Lleser de Virós,208.55,57702,Pacs del Penedès,3251,Alt Penedès,Barcelona,918
Fires i festes,208.47,16828,-,106,,,
Mata Gabarró,208.46,1445,Sant Sadurní d'Anoia,238,Alt Penedès,Barcelona,12841
Caber,207.98,54727,Sant Llorenç d'Hortons,747,Alt Penedès,Barcelona,2428
Espuma del Mar - M,207.97,44603,Es Castell,4271,Menorca,Illes Balears,7962
Canard - DuchêneFrança (champagne),207.76,11352,Ludes,770,,Marne,657
GossetFrança (champagne),207.58,2823,Aÿ-Champagne,705,,Marne,5841
Coop. Banyoles,206.63,4327,Banyoles,604,Pla de l'Estany,Girona,20053
Masia Ginebreda,206.46,181901,Sant Sadurní d'Anoia,5132,Alt Penedès,Barcelona,12841
Maralba,206.11,79723,Sant Sadurní d'Anoia,712,Alt Penedès,Barcelona,12841
Murviedro - M,206.1,56718,Requena,4657,Plana d'Utiel,València,20254
Particulars,205.72,115448,-,4449,,,
Divinetum,205.68,9763,-,3627,,,
Floridablanca,205.34,210036,Sant Sadurní d'Anoia,6247,Alt Penedès,Barcelona,12841
Cafe de ParisFrança (mousseux),205.21,20758,-,925,,,
Carles Pons i Espona,205.16,32164,Martorell,3467,Baix Llobregat,Barcelona,28772
MontaudonFrança (champagne),204.85,4037,Reims,711,,Marne,174478
Mungust,204.84,8756,Piera,258,Anoia,Barcelona,16134
Cremant d'AlsaceFrança (mousseux),204.34,4040,Marlenheim,954,,Bas-Rhin,3365
Molí d'en Coll,203.81,28802,Olèrdola,246,Alt Penedès,Barcelona,3768
Aregall,203.31,168102,Corbera de Llobregat,6418,Baix Llobregat,Barcelona,14882
Bodegas Martín Códax S.A. - M,203.16,129762,Cambados,7448,,Pontevedra,13752
Trepat de la Conca,202.9,22744,L'Espluga de Francolí,609,Conca de Barberà,Tarragona,3736
Núria de Montargull,202.87,153729,La Granada,7321,Alt Penedès,Barcelona,2208
GanciaItàlia,202.6,2888,Canelli,726,,Asti,10628
Varis Cava,202.37,57286,-,8562,,,
Castillo Chiara,202.34,22397,Bell-lloc d'Urgell,752,Pla d'Urgell,Lleida,2335
Pol RogerFrança (champagne),202.26,3659,Épernay,675,,Marne,22022
CavicchioliItàlia,202.17,2862,San Prospero,828,,Modena,5343
Mercat - (Xamfrà),202.16,135942,Sant Sadurní d'Anoia,7911,Alt Penedès,Barcelona,12841
Finca La Estacada - M,202.1,34231,Tarancón,3553,,Cuenca,16462
Castell de Ribes,201.35,43531,Castellbisbal,5386,Vallès Occidental,Barcelona,12540
Fiona,200.91,18131,,8820,,,
Yllera - E,200.78,24423,Rueda,553,,Valladolid,1103
Sèries,200.77,34100,-,107,,,
Félix Solís Bodegas - E,200.63,152658,Valdepeñas,7288,,Ciudad Real,30617
Mont-Picolis,200.47,154550,Vilobí del Penedès,7725,Alt Penedès,Barcelona,1102
VrankenFrança (champagne),200.39,4663,Reims,676,,Marne,174478
Consumer,200.04,1951,-,93,,,
Roser Sisó,200.03,2658,Lleida,325,Segrià,Lleida,140403
Mas Gusó,199.78,88836,Sant Pere Pescador,4813,Alt Empordà,Girona,2090
De VenogeFrança (champagne),199.72,16929,Épernay,1781,,Marne,22022
Palau Gazo,199.55,797,Castellví de la Marca,5293,Alt Penedès,Barcelona,1575
Scriptvm est,199.41,4500,Vilanova i la Geltrú,3646,Garraf,Barcelona,67733
Ondarre - E,199.37,2158,Viana,268,,Navarra,4413
Nit de Lluna Plena - E,197.84,224088,Girona,8374,Gironès,Girona,103369
Forrellad,196.56,6221,,136,,,
Josep Moris Pi,196.28,440,Sant Cugat Sesgarrigues,183,Alt Penedès,Barcelona,1009
Masia Puigdassé,196.01,9778,,4514,,,
Fermí Font,195.78,1398,Sant Sadurní d'Anoia,471,Alt Penedès,Barcelona,12841
Berral i Miró.,195.77,33379,Sant Sadurní d'Anoia,8638,Alt Penedès,Barcelona,12841
Marquès & Camps,195.6,3573,Sant Sadurní d'Anoia,208,Alt Penedès,Barcelona,12841
Miret i Rigual,195.29,32002,Sant Cugat Sesgarrigues,409,Alt Penedès,Barcelona,1009
Coop Agrícola Garriguella,195.07,118795,Garriguella,6453,Alt Empordà,Girona,853
MionettoItàlia,193.62,2879,Valdobbiadene,758,,Treviso,11223
JacquartFrança (champagne),192.82,10730,Reims,716,,Marne,174478
Ca l'Eugeni,192.81,24798,SANT SADURNÍ D'ANOIA,802,Alt Penedès,Barcelona,12841
Rovira Riba,192.77,17769,-,8704,,,
Espelta,192.46,41994,el Figueró i Montmany,3463,Vallès Oriental,Barcelona,1142
Rosell Raventós,192.28,13197,Sant Sadurní d'Anoia,4606,Alt Penedès,Barcelona,12841
Torre Marimón - IRTA,192.07,3693,Caldes de Montbui,5107,Vallès Oriental,Barcelona,17812
Celler Cooperatiu La Granada,192.06,44201,La Granada,82,Alt Penedès,Barcelona,2208
Sant Llogari,191.96,3363,Monistrol de Calders,4980,Moianès,Barcelona,702
"Botigues, sèries",191.76,24143,-,4019,,,
Bossuet,191.26,328,Vilafranca del Penedès,51,Alt Penedès,Barcelona,40154
Cal Feru,191.08,20144,Sant Sadurní d'Anoia,3569,Alt Penedès,Barcelona,12841
Bonet,190.54,30467,Gelida,745,Alt Penedès,Barcelona,7670
Eva Sidra Eva Extra Sidra Jai-alai Extra - E,190.14,129406,Lecumberri,6613,,Navarra,1697
Albero - M,190.13,53970,Ronda,5257,,Málaga,33451
Picher,189.64,33801,Piera,287,Anoia,Barcelona,16134
Barbadillo - M,189.38,72466,Sanlúcar de Barrameda,5059,,Cádiz,69876
Terra de Marca,188.9,46675,Castellví de la Marca,408,Alt Penedès,Barcelona,1575
Can Bartomeu,188.65,6438,-,736,,,
El Trianon,188.64,47203,Cornellà de Llobregat,4371,Baix Llobregat,Barcelona,89936
Krismanel,188.47,208439,Sant Sadurní d'Anoia,5210,Alt Penedès,Barcelona,12841
Marne et ChampagneFrança (champagne),188.23,4166,Reims,714,,Marne,174478
Casa Ravella,188.16,91667,Subirats,5834,Alt Penedès,Barcelona,3104
GenèriquesFrança (champagne),187.87,5083,-,654,,,
Santo Cristo - M,187.54,27000,Ainzón,3730,,Zaragoza,1043
Jorba Batlló,186.83,11718,Piera,2680,Anoia,Barcelona,16134
Peñalba Lopez - E,186.81,54153,Aranda de Duero,3253,,Burgos,33675
Rebotiga d'en Pitarra - Restauració,186.67,12431,Barcelona,3,Barcelonès,Barcelona,1664182
Arzak - M,186.25,2214,Donostia-San Sebastián,5103,,Guipúzcoa,189093
Vallort,186.08,1496,Torrelles de Foix,361,Alt Penedès,Barcelona,2398
Gora Idiondo i Molina,186.0,52071,La Bisbal del Penedès,4551,Baix Penedès,Tarragona,3631
Roig - Alemany,185.85,1503,Sant Sadurní d'Anoia,318,Alt Penedès,Barcelona,12841
Rovira Torres,185.59,3866,-,331,,,
Pont Vell - Coop. Sarral,185.43,138904,SARRAL,6504,Conca de Barberà,Tarragona,1538
Vendrell Olivella,185.29,110654,Barcelona,6071,Barcelonès,Barcelona,1664182
Vinirza,184.5,806,-,377,,,
Mas Argany,184.5,204225,Sant Martí Sarroca,8306,Alt Penedès,Barcelona,3261
Nanci Carol,184.36,18603,-,8551,,,
Carolina d'Abril,184.29,33990,Argentona,5972,Maresme,Barcelona,12536
Bodegas Marcelino Díaz - E,184.08,2736,Almendralejo,3755,Tierra de Barros,Badajoz,34284
Hosta,183.93,21496,-,453,,,
Aliron's,183.83,15802,-,8503,,,
Marqués de Badajoz - M,183.42,21116,Zafra,3655,,Badajoz,16711
A  Angel A Nota de Cata El Celler del Raval,182.74,15380,Terrassa,4212,Vallès Occidental,Barcelona,223627
Vidales Roig,182.55,75546,Nulles,5139,Alt Camp,Tarragona,509
Rella d'Or,182.43,3900,VILAFRANCA DEL PENEDÈS,582,Alt Penedès,Barcelona,40154
Batec,182.33,125744,Capmany,6412,Alt Empordà,Girona,693
Clos Lentiscus,182.27,132572,Sant Pere de Ribes,7958,Garraf,Barcelona,31111
Bonramell,182.22,21144,-,8487,,,
Carlos Portabella Coll,182.11,571,-,67,,,
La Gramalla,181.93,28685,Sant Sadurní d'Anoia,8633,Alt Penedès,Barcelona,12841
MalakoffFrança (champagne),181.57,4153,Blancs-Coteaux,782,,Marne,3380
Kairus,181.21,54724,Font-Rubí,4979,Alt Penedès,Barcelona,1414
Bufadors,180.59,163597,Sant Sadurní d'Anoia,7541,Alt Penedès,Barcelona,12841
Lujan,180.57,30541,Sant Sadurní d'Anoia,3549,Alt Penedès,Barcelona,12841
Robert de Nola,180.4,137778,CASTELLET I LA GORNAL,6885,Alt Penedès,Barcelona,2382
Lasaleta,180.4,144495,La Granada,4510,Alt Penedès,Barcelona,2208
Aris Casanovas,180.25,2203,Rubí,8817,Vallès Occidental,Barcelona,78591
Durmat,180.2,3060,Sant Sadurní d'Anoia,119,Alt Penedès,Barcelona,12841
ChandonArgentina,179.92,17446,Luján de Cuyo,728,,Mendoza,116763
Codorniu NapaEstats Units d'Amèrica,179.85,2781,Napa,1095,,Napa,76915
Charles de CouranceFrança (champagne),179.79,15138,-,1597,,,
Papet del Mas,179.73,95316,Font-Rubí,4794,Alt Penedès,Barcelona,1414
Rossinyol de Moragas,179.71,72219,Òdena,5054,Anoia,Barcelona,3668
Baron-FuentéFrança (champagne),179.05,112473,Charly-sur-Marne,3844,,Aisne,2584
Sieur D'ArquesFrança (mousseux),178.97,42026,Limoux,1043,,Aude,9411
Cossetània,178.84,1395,Bellvei,475,Baix Penedès,Barcelona,2237
Friguls,178.72,12861,-,6304,,,
Delagne & FilsFrança (champagne),178.55,47506,-,3742,,,
Moli Parellada - E - (El Xamfra),177.75,178567,Sant Sadurní d'Anoia,9128,Alt Penedès,Barcelona,12841
Castell dels Sorells - E,177.53,13384,Turís,3290,,València,7544
Espais Mont-Bell-EMB,177.46,86409,Vallromanes,4916,Vallès Oriental,Barcelona,2558
Mayador - E,177.36,62118,Villaviciosa,4803,,Asturias,15342
Dovela,177.09,70320,Sant Sadurní d'Anoia,5039,Alt Penedès,Barcelona,12841
