Cava,Puntuació,id,Municipi,id_cava,Comarca,Província,Població
Marqués de Monistrol,483.63,394,Sant Sadurní d'Anoia,211,Alt Penedès,Barcelona,12841
Joan Sardà (M.),483.48,1869,Castellbisbal,177,Vallès Occidental,Barcelona,12540
Roura,483.01,1020,Alella,328,Maresme,Barcelona,9904
Arvicaretey,482.48,4035,Sant Sadurní d'Anoia,16,Alt Penedès,Barcelona,12841
El Celler Vell,480.43,2206,Sant Sadurní d'Anoia,85,Alt Penedès,Barcelona,12841
bebubble - (de Vallformosa),479.24,190100,Vilobí del Penedès,8154,Alt Penedès,Barcelona,1102
Comte de Subirats,476.97,85070,Sant Sadurní d'Anoia,4795,Alt Penedès,Barcelona,12841
Privat - Castillo de Perelada,476.4,138386,Peralada,8241,Alt Empordà,Girona,1898
Raventós Rosell,475.11,368,Masquefa,397,Anoia,Barcelona,9402
Escofet Rosell,474.51,136739,Avinyonet del Penedès,6856,Alt Penedès,Barcelona,1697
Rosmas,474.28,1815,Sant Sadurní d'Anoia,326,Alt Penedès,Barcelona,12841
Rosell y Formosa,473.27,14020,Sant Sadurní d'Anoia,322,Alt Penedès,Barcelona,12841
Roig Virgili,472.83,19733,Sant Sadurní d'Anoia,389,Alt Penedès,Barcelona,12841
Pere Olivella Galimany,472.42,119228,Font-rubí,285,Alt Penedès,Barcelona,1414
Rabetllat i Vidal,471.41,7869,Sant Esteve Sesrovires,428,Baix Llobregat,Barcelona,7696
1601,470.44,122337,Guissona,6295,Segarra,Lleida,7248
Castell d'Age,468.86,16194,Masquefa,71,Anoia,Barcelona,9402
Oliver Viticultors,467.65,122583,Subirats,5901,Alt Penedès,Barcelona,3104
Jaume Ventura,466.99,166,Sant Sadurní d'Anoia,172,Alt Penedès,Barcelona,12841
Celler Trobat,466.67,17797,Garriguella,84,Alt Empordà,Girona,853
Moët & ChandonFrança (champagne),463.69,16669,Épernay,650,,Marne,22022
Josep Masachs,463.23,1311,Vilafranca del Penedès,436,Alt Penedès,Barcelona,40154
Cripta,462.8,190635,Sant Sadurní d'Anoia,458,Alt Penedès,Barcelona,12841
Forns Raventós,460.94,8704,Santa Fe del Penedès,135,Alt Penedès,Barcelona,367
Mistinguett,459.14,133574,Vilobí del Penedès,7570,Alt Penedès,Barcelona,1102
Mas Oliver,459.07,562,Sant Sadurní d'Anoia,226,Alt Penedès,Barcelona,12841
Planas Albareda,458.77,47355,Vilobí del Penedès,290,Alt Penedès,Barcelona,1102
Les Tres Naus,458.07,54335,SANT JAUME DELS DOMENYS,198,Baix Penedès,Tarragona,2624
Estalella,457.52,119243,Vilanova del Camí,6409,Anoia,Barcelona,12596
Huguet de Can Feixes,456.32,415,Cabrera d'Anoia,161,Anoia,Barcelona,1482
Bohigas,456.21,568,Òdena,46,Anoia,Barcelona,3668
Artium,455.76,85,Artés,15,Bages,Barcelona,5762
Desotaterra,453.88,47515,Sant Sadurní d'Anoia,461,Alt Penedès,Barcelona,12841
Castell Sant Antoni,452.48,15,Sant Sadurní d'Anoia,73,Alt Penedès,Barcelona,12841
Blancher,452.25,1301,Sant Sadurní d'Anoia,39,Alt Penedès,Barcelona,12841
Xic d'Alfons,451.82,54586,El Pla del Penedès,4071,Alt Penedès,Barcelona,1275
Juve Masana,450.42,200296,VILAMALLA,8296,Alt Empordà,Girona,1161
Pere Camps,450.4,74213,GRANOLLERS,484,Vallès Oriental,Barcelona,62419
Mont Michel,447.55,963,Sant Sadurní d'Anoia,459,Alt Penedès,Barcelona,12841
Joan Sardà,447.4,172340,Castellví de la Marca,5116,Alt Penedès,Barcelona,1575
Berenguer,444.06,46573,La Granada,442,Alt Penedès,Barcelona,2208
Canals Nadal,443.72,27705,El Pla del Penedès,62,Alt Penedès,Barcelona,1275
Jaume Llopart,441.42,31058,Font-rubí,170,Alt Penedès,Barcelona,1414
Grivà,440.42,687,Cabrera de Mar,154,Maresme,Barcelona,4747
Torre Oria - E,438.98,17963,Requena,350,Plana d'Utiel,València,20254
Alba Arnau,438.14,50278,El Pla del Penedès,4515,Alt Penedès,Barcelona,1275
Maria Rigol Ordi,437.71,111614,Sant Sadurní d'Anoia,207,Alt Penedès,Barcelona,12841
Vinícola de Nulles,437.66,99664,Nulles,387,Alt Camp,Tarragona,509
Roser Romeu Torné,437.47,78641,Calella,4102,Maresme,Barcelona,19277
Santacana Roig,435.71,634,Sant Sadurní d'Anoia,422,Alt Penedès,Barcelona,12841
Olivella Ferrari,434.38,4734,Peralada,264,Alt Empordà,Girona,1898
Dibón,433.38,86753,Vilafranca del Penedès,4330,Alt Penedès,Barcelona,40154
Can Ràfols dels Caus,430.03,324,Avinyonet del Penedès,57,Alt Penedès,Barcelona,1697
Parellada i Faura,428.62,2357,Subirats,518,Alt Penedès,Barcelona,3104
Torrents Carbó,428.56,2379,Vilanova i la Geltrú,353,Garraf,Barcelona,67733
Berdié Romagosa,427.89,51972,Castellví de la Marca,34,Alt Penedès,Barcelona,1575
Castell del Remei,426.98,9849,Penelles,3377,Noguera,Lleida,435
D'Oriell,426.83,12454,Les Masies de Voltregà,3252,Osona,Barcelona,3132
Juan Miró,426.36,4499,Sant Sadurní d'Anoia,414,Alt Penedès,Barcelona,12841
Pere Rius,425.83,1322,Castellví de la Marca,286,Alt Penedès,Barcelona,1575
Maria Casanovas Glaç,425.66,71975,Sant Sadurní d'Anoia,205,Alt Penedès,Barcelona,12841
Mumm & CieFrança (champagne),425.45,21055,Reims,674,,Marne,174478
Simó de Palau,424.84,16651,L'Espluga de Francolí,342,Conca de Barberà,Tarragona,3736
Muguet,423.53,115452,BARCELONA,257,Barcelonès,Barcelona,1664182
Rosell Mir,423.36,161471,Subirats,324,Alt Penedès,Barcelona,3104
Duran,423.3,79933,Castellví de Rosanes,517,Baix Llobregat,Barcelona,1933
U més U fan TRES,422.05,191981,Font-Rubí,2686,Alt Penedès,Barcelona,1414
Vilamajó,422.01,31081,Sant Sadurní d'Anoia,374,Alt Penedès,Barcelona,12841
Marqués de Benach,421.89,30213,La Granada,6269,Alt Penedès,Barcelona,2208
Mas de la Basserola,421.56,4498,Aiguamúrcia,221,Alt Camp,Tarragona,957
Torrens Moliner,420.56,300,Sant Sadurní d'Anoia,352,Alt Penedès,Barcelona,12841
Gran Barón - (Vallformosa),420.5,13979,Vilobí del Penedès,431,Alt Penedès,Barcelona,1102
Bolet,420.01,18369,Castellví de la Marca,47,Alt Penedès,Barcelona,1575
J. Mir Vidal,419.54,959,Sant Sadurní d'Anoia,243,Alt Penedès,Barcelona,12841
Martín Soler,419.44,9174,Vilafranca del Penedès,218,Alt Penedès,Barcelona,40154
Genèriques colors,419.39,509,-,3508,,,
Tres Tombs,419.04,25207,Avinyonet del Penedès,610,Alt Penedès,Barcelona,1697
Colomer Costa,418.88,2018,Sant Sadurní d'Anoia,503,Alt Penedès,Barcelona,12841
El Celleret,418.12,71623,Sant Sadurní d'Anoia,4100,Alt Penedès,Barcelona,12841
Castell de Vilarnau,415.95,257,Sant Sadurní d'Anoia,74,Alt Penedès,Barcelona,12841
Cases Ribalta,413.56,2050,Barcelona,488,Barcelonès,Barcelona,1664182
Nu Allongé,412.68,101531,Castellet i la Gornal,261,Alt Penedès,Barcelona,2382
Josep M. Ferret  Guasch,412.64,32655,Font-Rubí,182,Alt Penedès,Barcelona,1414
Masia Torreblanca,412.26,2674,Olèrdola,235,Alt Penedès,Barcelona,3768
Colomer - (Bernat),411.98,2274,Sant Sadurní d'Anoia,90,Alt Penedès,Barcelona,12841
Ferret i Mateu,411.17,17749,Santa Margarida i els Monjos,131,Alt Penedès,Barcelona,7676
Vives Ambròs - Aida de,411.02,50662,Montferri,379,Alt Camp,Tarragona,403
Romagosa Torné,410.93,538,Sant Martí Sarroca,319,Alt Penedès,Barcelona,3261
Cardoner,410.81,80,Sant Sadurní d'Anoia,65,Alt Penedès,Barcelona,12841
Eclosió - (de A & S),410.62,191648,El Pla del Penedès,8181,Alt Penedès,Barcelona,1275
Monegal Cerdà,409.6,68977,Sant Feliu de Guíxols,429,Baix Empordà,Girona,23050
ClicquotFrança (champagne),409.36,23879,Reims,656,,Marne,174478
Miret,408.53,140,Barcelona,244,Barcelonès,Barcelona,1664182
Marques de la Concordia - M,408.49,203959,Madrid,7423,,Madrid,3416771
El Mas Ferrer,407.58,1412,Subirats,121,Alt Penedès,Barcelona,3104
Varias,407.31,38022,Sant Sadurní d'Anoia,5428,Alt Penedès,Barcelona,12841
Magrinyà Calaf,406.2,126,Nulles,202,Alt Camp,Tarragona,509
Jaume Creixell,406.19,2729,Barcelona,168,Barcelonès,Barcelona,1664182
Trias,406.1,43525,Vilafranca del Penedès,355,Alt Penedès,Barcelona,40154
Alsinac - (M.),404.68,120356,Vilafranca del Penedès,5255,Alt Penedès,Barcelona,40154
Chandon,403.11,594,-,86,,,
Solium,401.71,21302,Sant Sadurní d'Anoia,407,Alt Penedès,Barcelona,12841
J. García Carrión Vegaverde - E,401.67,78837,Daimiel,4192,,Ciudad Real,17645
Terrer de la Creu,401.29,26743,Manresa,3465,Bages,Barcelona,78245
Empreses,400.76,12036,-,108,,,
Arxiduc de Mont-Palau,398.3,93102,La Granada,17,Alt Penedès,Barcelona,2208
Soler Jové,398.02,5862,Sant Sadurní d'Anoia,344,Alt Penedès,Barcelona,12841
Júlia Bernet,397.33,9722,Subirats,504,Alt Penedès,Barcelona,3104
El Xamfrà,396.85,718,Sant Sadurní d'Anoia,380,Alt Penedès,Barcelona,12841
Olivella i Bonet S.A.,396.1,448,L'Arboç,265,Baix Penedès,Tarragona,5609
Guilera,395.44,260,Subirats,155,Alt Penedès,Barcelona,3104
DonelliItàlia ICRF,394.55,2926,Gattatico,659,,Reggio Emilia,5668
Gibert,394.04,1551,Artés,148,Bages,Barcelona,5762
L'Origan,393.94,4273,Sant Sadurní d'Anoia,450,Alt Penedès,Barcelona,12841
Louis de Vernier,392.3,137163,Torrelles de Foix,444,Alt Penedès,Barcelona,2398
Masachs,391.9,38225,Torrelles de Foix,230,Alt Penedès,Barcelona,2398
Empreses - Caixa Penedès,391.77,12037,-,108,,,
Masia d'Or,390.65,136991,Santa Fe del Penedès,5723,Alt Penedès,Barcelona,367
Dominio de la Vega - E,389.47,33664,San Antonio de Benagéber,456,,València,10200
Parató,389.07,633,El Pla del Penedès,273,Alt Penedès,Barcelona,1275
Monastell,388.93,4030,Sant Sadurní d'Anoia,247,Alt Penedès,Barcelona,12841
Coop. Llorenç del Penedès,388.93,726,Llorenç del Penedès,94,Baix Penedès,Tarragona,2395
Montsarra,388.84,3847,Torrelles de Foix,254,Alt Penedès,Barcelona,2398
Mas Suau,388.63,36768,La Granada,502,Alt Penedès,Barcelona,2208
Julià & Navinés,388.32,28334,Font-Rubí,187,Alt Penedès,Barcelona,1414
Roig y Ollé,387.35,52077,Sant Sadurní d'Anoia,464,Alt Penedès,Barcelona,12841
Es Trac,385.85,29379,Barcelona,515,Barcelonès,Barcelona,1664182
Sadurní Comas Codorniu,385.76,677,Sant Sadurní d'Anoia,334,Alt Penedès,Barcelona,12841
Fuchs de Vidal,385.66,456,El Pla del Penedès,141,Alt Penedès,Barcelona,1275
D'Ishern,384.32,1416,El Papiol,112,Baix Llobregat,Barcelona,4172
Canals & Nubiola,382.93,4950,Sant Sadurní d'Anoia,59,Alt Penedès,Barcelona,12841
Dolina - Vall Dolina,381.22,93365,Olesa de Bonesvalls,4540,Alt Penedès,Barcelona,1840
Langa - E,380.85,26430,Calatayud,195,,Zaragoza,19850
Capità Vidal,379.86,122951,El Pla del Penedès,64,Alt Penedès,Barcelona,1275
Vinya Escudé Maioles,378.25,10817,Sant Quintí de Mediona,3247,Alt Penedès,Barcelona,2317
Berral i Miró,377.42,76771,Sant Sadurní d'Anoia,37,Alt Penedès,Barcelona,12841
Anna Amigó Agulled,376.82,31267,Sant Sadurní d'Anoia,605,Alt Penedès,Barcelona,12841
Benito Escudero - E,376.6,17,Grávalos,33,,La Rioja,185
Bonet & Cabestany,375.34,3141,Sant Sadurní d'Anoia,50,Alt Penedès,Barcelona,12841
Casteller - Covides,375.1,130694,Sant Sadurní d'Anoia,6505,Alt Penedès,Barcelona,12841
Valldosera,375.0,1919,Olèrdola,359,Alt Penedès,Barcelona,3768
René Barbier,374.42,29213,Sant Cugat Sesgarrigues,3464,Alt Penedès,Barcelona,1009
J. Colet,374.4,10139,Pacs del Penedès,181,Alt Penedès,Barcelona,918
Gorg del Glaç,373.97,2709,Sant Jaume dels Domenys,877,Baix Penedès,Tarragona,2624
Rosell & Gallart,373.82,211,Sant Sadurní d'Anoia,323,Alt Penedès,Barcelona,12841
Anna Gabarró,373.45,1580,Piera,11,Anoia,Barcelona,16134
Mas Bertran,372.3,32984,Sant Martí Sarroca,3457,Alt Penedès,Barcelona,3261
Torné & Bel,372.28,717,Sant Sadurní d'Anoia,349,Alt Penedès,Barcelona,12841
Casteller,372.22,327,Vilafranca del Penedès,392,Alt Penedès,Barcelona,40154
Gran Ducay Bodegas - E,372.16,11905,Cariñena,3256,,Zaragoza,3456
Cuscó i Comas,372.04,3396,Piera,102,Anoia,Barcelona,16134
Espelt,371.97,109538,Vilajuïga,127,Alt Empordà,Girona,1116
"Capel Vinos, S.A. - E",371.76,21883,Murcia,3390,,Murcia,474617
Olivé Batllori,371.1,2975,Subirats,263,Alt Penedès,Barcelona,3104
Faustino - E,370.61,1060,Oyón,129,,Álava,3413
TaittingerFrança (champagne),370.53,27404,Reims,706,,Marne,174478
Josep Carreras,367.46,696,Sant Llorenç d'Hortons,180,Alt Penedès,Barcelona,2428
Ferré i Catasús,367.21,582,La Granada,4573,Alt Penedès,Barcelona,2208
Francesc Ollé Amat,366.73,127,Castellví de Rosanes,137,Baix Llobregat,Barcelona,1933
Castell de Marmeralt,364.37,22710,Les Masies de Voltregà,460,Osona,Barcelona,3132
Celler Mariol,364.3,1368,Batea,469,Terra Alta,Tarragona,1901
Cum Laude,364.09,81723,Sant Sadurní d'Anoia,100,Alt Penedès,Barcelona,12841
Lluís Guitart,363.55,89625,Artés,451,Bages,Barcelona,5762
Maria Oliver Portí,363.16,4679,Sant Sadurní d'Anoia,206,Alt Penedès,Barcelona,12841
Grau Dòria,362.62,55420,Canyelles,152,Garraf,Barcelona,4699
RS Ràfols Surià,361.75,8646,Sant Sadurní d'Anoia,303,Alt Penedès,Barcelona,12841
Esmel J. Esmel San Sadurní de Noya,360.7,1165,Sant Sadurní d'Anoia,126,Alt Penedès,Barcelona,12841
Alella Vinícola Can Jonc,360.41,12744,Alella,6,Maresme,Barcelona,9904
Gabarró Isart,357.91,2156,Piera,143,Anoia,Barcelona,16134
Civ & CivItàlia,357.82,2219,Castelfranco Emilia,658,,Modena,30933
Mil·liari,357.51,230,La Bisbal del Penedès,240,Baix Penedès,Tarragona,3631
Olivella Ventosa,357.47,12350,Font-Rubí,267,Alt Penedès,Barcelona,1414
Pagès & Entrena,357.35,147361,Piera,270,Anoia,Barcelona,16134
Grimau de Pujades - M. T.,355.14,120794,Olèrdola,6149,Alt Penedès,Barcelona,3768
Samuntà,355.1,140346,Olèrdola,5497,Alt Penedès,Barcelona,3768
Àngela Marquès Rigol,354.66,2049,Torrelavit,505,Alt Penedès,Barcelona,1422
Abadia de Montserrat - M,351.79,135091,Puerto de Santa Maria,6799,,Cádiz,89960
Grup Sèries - Diari Tarragona,351.57,2471,-,520,,,
Via de la Plata - E,347.53,133113,Almendralejo,367,Tierra de Barros,Badajoz,34284
Bodegas Bilbainas - E,347.47,336,Haro,41,,La Rioja,11979
Conde de Valicourt,346.48,23994,Sant Sadurní d'Anoia,92,Alt Penedès,Barcelona,12841
Delapierre,345.81,6926,Sant Sadurní d'Anoia,111,Alt Penedès,Barcelona,12841
Joan Piñol Torrents,345.03,67745,El Pla del Penedès,176,Alt Penedès,Barcelona,1275
Domènec Jové Martí,344.62,3342,Sant Martí Sarroca,113,Alt Penedès,Barcelona,3261
Pont Vell,344.34,1217,Montblanc,291,Conca de Barberà,Tarragona,7379
Talino - Pervers d'Talino,344.04,98469,Sitges,5904,Garraf,Barcelona,29553
Masia Sagué,343.52,353,Les Cabanyes,384,Alt Penedès,Barcelona,1012
Farré-Garriga,343.4,1987,Caldes de Malavella,128,Selva,Girona,7872
Dama de Coll de Juny,341.41,2155,Sant Sadurní d'Anoia,508,Alt Penedès,Barcelona,12841
Babot,340.84,60643,Sant Sadurní d'Anoia,19,Alt Penedès,Barcelona,12841
Duque de Montebello,338.65,1637,Viladecans,118,Baix Llobregat,Barcelona,67197
Carles Rocha,338.14,1290,Matadepera,68,Vallès Occidental,Barcelona,9496
Vidal i Ferré,337.55,360,Aiguamúrcia,368,Alt Camp,Tarragona,930
"Roederer, LouisFrança (champagne)",337.04,43663,Reims,707,,Marne,174478
Musteus,336.89,47475,La Bisbal del Penedès,4579,Baix Penedès,Tarragona,3631
Grivà - (M),334.59,132193,Sils,6699,Selva,Girona,6219
"Abelé, HenriFrança (champagne)",334.13,8095,Reims,655,,Marne,174478
Botigues - Celler de Gelida,333.61,34542,Gelida,487,Alt Penedès,Barcelona,7670
Mas Comtal,333.6,979,Avinyonet del Penedès,241,Alt Penedès,Barcelona,1697
Guillem Carol,332.96,18586,Subirats,156,Alt Penedès,Barcelona,3104
Almirall,332.82,26225,Sant Sadurní d'Anoia,7,Alt Penedès,Barcelona,12841
L'Alzinar,332.25,5058,Sant Sadurní d'Anoia,194,Alt Penedès,Barcelona,12841
Cuscó Berga,331.55,58188,Avinyonet del Penedès,101,Alt Penedès,Barcelona,1697
Beneit,331.22,1440,Sant Sadurní d'Anoia,31,Alt Penedès,Barcelona,12841
Marcet,330.5,995,Sant Sadurní d'Anoia,204,Alt Penedès,Barcelona,12841
Sanstravé E,330.39,1369,Solivella,336,Conca de Barberà,Tarragona,632
Mas Candí,329.88,128621,Avinyonet del Penedès,4093,Alt Penedès,Barcelona,1697
Reymos - E,329.44,36678,Xeste,4090,,València,9022
Isabel Ventura Mavlyutova,329.42,76519,Subirats,4474,Alt Penedès,Barcelona,3104
Sardà - (M.),328.65,827,Castellví de la Marca,437,Alt Penedès,Barcelona,1575
Eulàlia de Pons,328.27,12456,La Granada,481,Alt Penedès,Barcelona,2208
Torres Prunera,328.18,41307,Vilafranca del Penedès,425,Alt Penedès,Barcelona,40154
Rekondo,327.63,10126,El Masnou,8725,Maresme,Barcelona,23831
RI - I.C.R.FItàlia,327.05,2217,-,826,,,
Aires de Tramuntana,326.86,1926,Vilamalla,4465,Alt Empordà,Girona,1161
Mas Mascort,326.59,32214,Sant Quintí de Mediona,3547,Alt Penedès,Barcelona,2317
Solà Raventós,325.75,51444,Sant Sadurní d'Anoia,343,Alt Penedès,Barcelona,12841
Bonaval - E,325.23,137796,Almendralejo,48,Tierra de Barros,Badajoz,34284
Alsinac,324.71,29858,Vilafranca del Penedès,3358,Alt Penedès,Barcelona,40154
Mas Montcau,324.71,329,Sant Sadurní d'Anoia,225,Alt Penedès,Barcelona,12841
Cal Damià,324.35,908,Sant Sadurní d'Anoia,54,Alt Penedès,Barcelona,12841
Renardes,324.25,48815,El Pla del Penedès,572,Alt Penedès,Barcelona,1275
Magust,320.38,100,Sant Pere de Riudebitlles,203,Alt Penedès,Barcelona,2380
Joan i Pere Pons Font,320.11,148,La Granada,175,Alt Penedès,Barcelona,2208
Butí Masana,320.05,72105,Sant Sadurní d'Anoia,52,Alt Penedès,Barcelona,12841
Tutusaus,319.36,67300,Olesa de Bonesvalls,357,Alt Penedès,Barcelona,1840
Portium,319.1,48284,Masquefa,4535,Anoia,Barcelona,9402
Medici ErmeteItàlia,319.07,2863,Reggio Emilia,660,,Reggio Emilia,167678
Restauració,318.97,3791,-,3,,,
Coop. Nulles,318.89,49,Nulles,97,Alt Camp,Tarragona,509
Coop. L'Espluga de Francolí,318.79,922,L'Espluga de Francolí,96,Conca de Barberà,Tarragona,3736
Marquès de Sarnella,318.65,24305,Girona,3513,Gironès,Girona,103369
Terra Terrae,318.5,151007,Vilafranca del Penedès,6299,Alt Penedès,Barcelona,40154
Bodegas Vegamar - M,318.38,46457,Calles,3369,Serrans,València,355
Analec,317.6,51092,Nalec,4040,Urgell,Lleida,90
Associacions i clubs,317.48,107027,-,395,,,
D'Abbatis,317.31,26961,La Secuita,4538,Tarragonès,Tarragona,1708
Cal Puig,316.37,47364,Calella,4370,Maresme,Barcelona,19277
Laviret,315.59,115455,Blanes,6234,Selva,Girona,39914
Sala Casanovas,314.34,6079,Barcelona,651,Barcelonès,Barcelona,1664182
Mas Macià,314.01,3897,Òdena,224,Anoia,Barcelona,3668
Montsant,313.87,351,Sant Sadurní d'Anoia,399,Alt Penedès,Barcelona,12841
BollingerFrança (champagne),313.84,15505,Aÿ-Champagne,653,,Marne,5841
Castell de la Comanda,313.71,2377,Barberà de la Conca,552,Conca de Barberà,Tarragona,471
Elementum Ad Fontes,313.2,216276,Sant Sadurní d'Anoia,6164,Alt Penedès,Barcelona,12841
Avida Cava,313.02,22268,L'Hospitalet de Llobregat,3323,Barcelonès,Barcelona,269382
Can Ramon Viticultors de Montgros,312.51,35596,Sant Pere de Ribes,4187,Garraf,Barcelona,31111
Reverté,312.15,48796,Salomó,3995,Tarragonès,Tarragona,549
Artis Arrufat,310.3,805,Vallirana,14,Baix Llobregat,Barcelona,15312
Roger Bertrand,310.18,39205,Sant Sadurní d'Anoia,560,Alt Penedès,Barcelona,12841
Descregut,309.41,114884,Vilobí del Penedès,8278,Alt Penedès,Barcelona,1102
Decordi VinicolaItàlia (ICRF),309.33,37238,Motta Baluffi,844,,Cremona,968
Laurent PerrierFrança (champagne),308.73,2715,Tours-sur-Marne,657,,Marne,1207
Clos La Soleya - (de Xamfrà),308.59,135413,Sant Sadurní d'Anoia,7585,Alt Penedès,Barcelona,12841
Markel,308.34,13118,Santa Margarida i els Monjos,402,Alt Penedès,Barcelona,7676
2004,308.04,1479,-,470,,,
Antonieta Batllori,307.09,2932,Subirats,478,Alt Penedès,Barcelona,3104
Pago de Tharsys - E,306.72,28468,REQUENA,832,Plana d'Utiel,València,20254
Fèlix Massana Ràfols,306.25,87309,Subirats,472,Alt Penedès,Barcelona,3104
Pere Munné Duran,306.16,210,Piera,284,Anoia,Barcelona,16134
Mas Pujadó,306.14,96592,Subirats,227,Alt Penedès,Barcelona,3104
L'Aixertell,305.41,2054,Sant Sadurní d'Anoia,193,Alt Penedès,Barcelona,12841
Mazard - Heretat Cal Rubio,304.33,2668,Santa Margarida i els Monjos,441,Alt Penedès,Barcelona,7676
Solés & Salvà,304.03,20176,Girona,7907,Gironès,Girona,103369
Rosa Maria Torres,303.53,10270,Sarral,321,Conca de Barberà,Tarragona,1538
Coll Font,303.48,1291,Sant Pere de Ribes,89,Garraf,Barcelona,31111
Alba Blanc,302.39,2,-,4,,,
Robert de Tamir,301.44,3439,Vilafranca del Penedès,6265,Alt Penedès,Barcelona,40154
La Xarmada,300.87,4391,Pacs del Penedès,192,Alt Penedès,Barcelona,918
Torres Valls,299.6,2000,Vilafranca del Penedès,426,Alt Penedès,Barcelona,40154
Mas Galí,298.95,44478,Sant Sadurní d'Anoia,1367,Alt Penedès,Barcelona,12841
Joan Colet Rius,298.39,168834,Sant Sadurní d'Anoia,4186,Alt Penedès,Barcelona,12841
Gibasch,298.11,880,Sant Sadurní d'Anoia,147,Alt Penedès,Barcelona,12841
Abbazia VinicolaItàlia (ICRF),297.85,34326,Santo Stefano Belbo,840,,Cuneo,4036
Coop. Vila-Rodona,297.78,709,Vila-Rodona,98,Alt Camp,Tarragona,1276
PommeryFrança (champagne),297.77,2598,Reims,677,,Marne,174478
Puigmoltó,297.4,13455,Castellet i la Gornal,300,Alt Penedès,Barcelona,2382
Ca' de MediciItàlia,295.85,2223,,1067,,,
Amorany,295.08,160266,Tiana,8159,Maresme,Barcelona,8945
Painous,295.01,2066,Torrelles de Foix,506,Alt Penedès,Barcelona,2398
Vimont,294.15,41333,Sant Sadurní d'Anoia,3689,Alt Penedès,Barcelona,12841
Pedro Masana,294.09,25868,Barcelona,279,Barcelonès,Barcelona,1664182
Freixenet - Casa Sala,294.01,62763,Sant Quintí de Mediona,4468,Alt Penedès,Barcelona,2317
Catasús & Casanovas,293.98,1777,Sant Sadurní d'Anoia,80,Alt Penedès,Barcelona,12841
Peret-Fuster,293.91,96567,-,5254,,,
Arnan Deloi,293.73,814,Torrelles de Foix,438,Alt Penedès,Barcelona,2398
Miguel TorresXile,292.99,9862,Curicó,1278,,Curicó,160589
Albert Perrín,292.86,2819,Sant Sadurní d'Anoia,565,Alt Penedès,Barcelona,12841
Vins del Terme - (Masachs),292.38,198950,Vilafranca del Penedès,8270,Alt Penedès,Barcelona,40154
Isach Balcells,292.3,25687,Sant Sadurní d'Anoia,163,Alt Penedès,Barcelona,12841
Perecaula,292.04,119819,Vilafranca del Penedès,6005,Alt Penedès,Barcelona,40154
Palau Solà,291.97,149,El Pla del Penedès,272,Alt Penedès,Barcelona,1275
Mas Jornet,291.93,1583,Santa Margarida i els Monjos,223,Alt Penedès,Barcelona,7676
Josep Llopart,291.91,9349,-,3264,,,
Martí Grau,291.89,114143,Sant Martí Sarroca,6086,Alt Penedès,Barcelona,3261
Na Sol de Rechenna - E,291.15,43359,Requena,4270,Plana d'Utiel,València,20254
Ivette,290.95,210719,Sant Sadurní d'Anoia,5896,Alt Penedès,Barcelona,12841
Ivan Saldanya,290.84,1863,Cabrera d'Anoia,164,Anoia,Barcelona,1482
De Muller,289.81,34851,Reus,4357,Baix Camp,Tarragona,106168
Heretat Mont-Rubí,289.66,815,Font-Rubí,159,Alt Penedès,Barcelona,1414
Clos Montblanc,289.54,39395,Barberà de la Conca,4174,Conca de Barberà,Tarragona,471
Celler Sant Ponç,289.32,1434,L'Arboç,83,Baix Penedès,Tarragona,5609
Genís Ricart,288.89,173,Castellví de la Marca,146,Alt Penedès,Barcelona,1575
Don Conde,288.5,561,Sant Sadurní d'Anoia,115,Alt Penedès,Barcelona,12841
Xamós,288.15,2036,Barcelona,381,Barcelonès,Barcelona,1664182
RuinartFrança (champagne),287.85,5474,Reims,696,,Marne,174478
Lalanne - E,287.34,4851,Barbastro,612,,Huesca,17558
Billecart-SalmonFrança (champagne),287.22,3425,Aÿ-Champagne,667,,Marne,5841
Cum Laude - CP,286.82,120354,Sant Sadurní d'Anoia,5895,Alt Penedès,Barcelona,12841
Josepha Seve Marigó,286.17,1431,Sant Sadurní d'Anoia,184,Alt Penedès,Barcelona,12841
Senyor de Mont-Palau,285.96,98833,La Granada,452,Alt Penedès,Barcelona,2208
VG Vicente Gandia,285.39,86069,Chiva,9050,,València,17245
Chamcalet,284.88,92101,Sant Sadurní d'Anoia,5209,Alt Penedès,Barcelona,12841
Valldegata - M,284.78,9872,Arenys de Mar,213,Maresme,Barcelona,15941
Teresa Mata,284.33,978,Sant Sadurní d'Anoia,457,Alt Penedès,Barcelona,12841
Cavalló Graula,284.3,51129,Gavà,4194,Baix Llobregat,Barcelona,47057
Dogma,284.24,73489,Pontons,404,Alt Penedès,Barcelona,528
Sala VivéMèxic,283.72,6896,Santiago de Querétaro,1328,,Querétaro,794789
Marc Martí,283.67,29783,Sant Sadurní d'Anoia,516,Alt Penedès,Barcelona,12841
Duc de Rosanes,283.42,1483,Castellví de Rosanes,477,Baix Llobregat,Barcelona,1933
Cup de Cairons,282.86,793,Sant Joan Despí,4519,Baix Llobregat,Barcelona,34267
Ana Ferret Raventós,282.08,1394,Sant Pere de Riudebitlles,473,Alt Penedès,Barcelona,2380
Joan Rovira Baqués,281.41,74264,Sant Sadurní d'Anoia,5108,Alt Penedès,Barcelona,12841
Miquel Pons Montargull,280.96,4267,-,7325,,,
Pere Barnada,279.97,58574,Barcelona,2679,Barcelonès,Barcelona,1664182
