Municipi,Comarca,Població,Província,Comunitat Autònoma
Abella de la Conca,Pallars Jussà,183,Lleida,Catalunya
Abrera,Baix Llobregat,12538,Barcelona,Catalunya
Agramunt,Urgell,5411,Lleida,Catalunya
Aguilar de Segarra,Bages,282,Barcelona,Catalunya
Agullana,Alt Empordà,863,Girona,Catalunya
Aiguafreda,Vallès Oriental,2512,Barcelona,Catalunya
Aiguamúrcia,Alt Camp,930,Tarragona,Catalunya
Aiguaviva,Gironès,765,Girona,Catalunya
Aitona,Segrià,2567,Lleida,Catalunya
Albanyà,Alt Empordà,155,Girona,Catalunya
Albatàrrec,Segrià,2236,Lleida,Catalunya
Albesa,Noguera,1561,Lleida,Catalunya
Albinyana,Baix Penedès,2468,Tarragona,Catalunya
Albons,Baix Empordà,759,Girona,Catalunya
Alcanar,Montsià,9434,Tarragona,Catalunya
Alcanó,Segrià,238,Lleida,Catalunya
Alcarràs,Segrià,9707,Lleida,Catalunya
Alcoletge,Segrià,3435,Lleida,Catalunya
Alcover,Alt Camp,5144,Tarragona,Catalunya
Aldover,Baix Ebre,905,Tarragona,Catalunya
Alella,Maresme,9904,Barcelona,Catalunya
Alfara de Carles,Baix Ebre,376,Tarragona,Catalunya
Alfarràs,Segrià,2765,Lleida,Catalunya
Alforja,Baix Camp,1783,Tarragona,Catalunya
Alfés,Segrià,297,Lleida,Catalunya
Algerri,Noguera,404,Lleida,Catalunya
Alguaire,Segrià,3029,Lleida,Catalunya
Alins,Pallars Sobirà,272,Lleida,Catalunya
Alió,Alt Camp,458,Tarragona,Catalunya
Almacelles,Segrià,6826,Lleida,Catalunya
Almatret,Segrià,305,Lleida,Catalunya
Almenar,Segrià,3357,Lleida,Catalunya
Almoster,Baix Camp,1341,Tarragona,Catalunya
Alp,Cerdanya,1593,Girona,Catalunya
Alpens,Lluçanès,261,Barcelona,Catalunya
Alpicat,Segrià,6266,Lleida,Catalunya
Alt Àneu,Pallars Sobirà,414,Lleida,Catalunya
Altafulla,Tarragonès,5307,Tarragona,Catalunya
Alàs i Cerc,Alt Urgell,320,Lleida,Catalunya
Alòs de Balaguer,Noguera,132,Lleida,Catalunya
Amer,Selva,2332,Girona,Catalunya
Amposta,Montsià,21115,Tarragona,Catalunya
Anglesola,Urgell,1365,Lleida,Catalunya
Anglès,Selva,5654,Girona,Catalunya
Arbeca,Garrigues,2126,Lleida,Catalunya
Arbolí,Baix Camp,127,Tarragona,Catalunya
Arbúcies,Selva,6608,Girona,Catalunya
Arenys de Mar,Maresme,15941,Barcelona,Catalunya
Arenys de Munt,Maresme,9121,Barcelona,Catalunya
Argelaguer,Garrotxa,396,Girona,Catalunya
Argentona,Maresme,12536,Barcelona,Catalunya
Argençola,Anoia,219,Barcelona,Catalunya
Arnes,Terra Alta,444,Tarragona,Catalunya
Arres,Vall d'Aran,60,Lleida,Catalunya
Arsèguel,Alt Urgell,81,Lleida,Catalunya
Artesa de Lleida,Segrià,1535,Lleida,Catalunya
Artesa de Segre,Noguera,3400,Lleida,Catalunya
Artés,Bages,5762,Barcelona,Catalunya
Ascó,Ribera d'Ebre,1644,Tarragona,Catalunya
Aspa,Segrià,220,Lleida,Catalunya
Avinyonet de Puigventós,Alt Empordà,1641,Girona,Catalunya
Avinyonet del Penedès,Alt Penedès,1697,Barcelona,Catalunya
Avinyó,Bages,2289,Barcelona,Catalunya
Avià,Berguedà,2220,Barcelona,Catalunya
Badalona,Barcelonès,223166,Barcelona,Catalunya
Badia del Vallès,Vallès Occidental,13415,Barcelona,Catalunya
Bagà,Berguedà,2140,Barcelona,Catalunya
Baix Pallars,Pallars Sobirà,331,Lleida,Catalunya
Balaguer,Noguera,17472,Lleida,Catalunya
Balenyà,Osona,3840,Barcelona,Catalunya
Balsareny,Bages,3192,Barcelona,Catalunya
Banyeres del Penedès,Baix Penedès,3207,Tarragona,Catalunya
Banyoles,Pla de l'Estany,20053,Girona,Catalunya
Barbens,Pla d'Urgell,878,Lleida,Catalunya
Barberà de la Conca,Conca de Barberà,471,Tarragona,Catalunya
Barberà del Vallès,Vallès Occidental,33334,Barcelona,Catalunya
Barcelona,Barcelonès,1664182,Barcelona,Catalunya
Bassella,Alt Urgell,217,Lleida,Catalunya
Batea,Terra Alta,1901,Tarragona,Catalunya
Bausen,Vall d'Aran,60,Lleida,Catalunya
Begues,Baix Llobregat,7300,Barcelona,Catalunya
Begur,Baix Empordà,3891,Girona,Catalunya
Belianes,Urgell,520,Lleida,Catalunya
Bell-lloc d'Urgell,Pla d'Urgell,2335,Lleida,Catalunya
Bellaguarda,Garrigues,287,Lleida,Catalunya
Bellcaire d'Empordà,Baix Empordà,678,Girona,Catalunya
Bellcaire d'Urgell,Noguera,1199,Lleida,Catalunya
Bellmunt d'Urgell,Noguera,185,Lleida,Catalunya
Bellmunt del Priorat,Priorat,273,Tarragona,Catalunya
Bellprat,Anoia,64,Barcelona,Catalunya
Bellpuig,Urgell,5218,Lleida,Catalunya
Bellvei,Baix Penedès,2237,Tarragona,Catalunya
Bellver de Cerdanya,Cerdanya,2005,Lleida,Catalunya
Bellvís,Pla d'Urgell,2260,Lleida,Catalunya
Benavent de Segrià,Segrià,1518,Lleida,Catalunya
Benifallet,Baix Ebre,723,Tarragona,Catalunya
Benissanet,Ribera d'Ebre,1140,Tarragona,Catalunya
Berga,Berguedà,16760,Barcelona,Catalunya
Besalú,Garrotxa,2487,Girona,Catalunya
Bescanó,Gironès,4991,Girona,Catalunya
Beuda,Garrotxa,186,Girona,Catalunya
Bigues i Riells del Fai,Vallès Oriental,9358,Barcelona,Catalunya
Biosca,Solsonès,177,Lleida,Catalunya
Biure,Alt Empordà,241,Girona,Catalunya
Blancafort,Conca de Barberà,382,Tarragona,Catalunya
Blanes,Selva,39914,Girona,Catalunya
Boadella i les Escaules,Alt Empordà,272,Girona,Catalunya
Bolvir,Cerdanya,375,Girona,Catalunya
Bonastre,Baix Penedès,685,Tarragona,Catalunya
Bordils,Gironès,1761,Girona,Catalunya
Borrassà,Alt Empordà,733,Girona,Catalunya
Borredà,Berguedà,464,Barcelona,Catalunya
Bossòst,Vall d'Aran,1115,Lleida,Catalunya
Bot,Terra Alta,554,Tarragona,Catalunya
Botarell,Baix Camp,1077,Tarragona,Catalunya
Bovera,Garrigues,248,Lleida,Catalunya
Breda,Selva,3762,Girona,Catalunya
Brunyola i Sant Martí Sapresa,Selva,389,Girona,Catalunya
Bràfim,Alt Camp,695,Tarragona,Catalunya
Bàscara,Alt Empordà,1001,Girona,Catalunya
Cabanabona,Noguera,71,Lleida,Catalunya
Cabanelles,Alt Empordà,267,Girona,Catalunya
Cabanes,Alt Empordà,968,Girona,Catalunya
Cabassers,Priorat,302,Tarragona,Catalunya
Cabra del Camp,Alt Camp,1175,Tarragona,Catalunya
Cabrera d'Anoia,Anoia,1482,Barcelona,Catalunya
Cabrera de Mar,Maresme,4747,Barcelona,Catalunya
Cabrils,Maresme,7432,Barcelona,Catalunya
Cabó,Alt Urgell,93,Lleida,Catalunya
Cadaqués,Alt Empordà,2695,Girona,Catalunya
Calaf,Anoia,3656,Barcelona,Catalunya
Calafell,Baix Penedès,27601,Tarragona,Catalunya
Calders,Moianès,1045,Barcelona,Catalunya
Caldes d'Estrac,Maresme,3021,Barcelona,Catalunya
Caldes de Malavella,Selva,7872,Girona,Catalunya
Caldes de Montbui,Vallès Oriental,17812,Barcelona,Catalunya
Calella,Maresme,19277,Barcelona,Catalunya
Calldetenes,Osona,2513,Barcelona,Catalunya
Callús,Bages,2129,Barcelona,Catalunya
Calonge de Segarra,Anoia,188,Barcelona,Catalunya
Calonge i Sant Antoni,Baix Empordà,11331,Girona,Catalunya
Camarasa,Noguera,810,Lleida,Catalunya
Camarles,Baix Ebre,3194,Tarragona,Catalunya
Cambrils,Baix Camp,34734,Tarragona,Catalunya
Campdevànol,Ripollès,3232,Girona,Catalunya
Campelles,Ripollès,140,Girona,Catalunya
Campins,Vallès Oriental,541,Barcelona,Catalunya
Campllong,Gironès,537,Girona,Catalunya
Campmany,Alt Empordà,611,Girona,Catalunya
Camprodon,Ripollès,2298,Girona,Catalunya
Camós,Pla de l'Estany,677,Girona,Catalunya
Canejan,Vall d'Aran,89,Lleida,Catalunya
Canet d'Adri,Gironès,729,Girona,Catalunya
Canet de Mar,Maresme,14865,Barcelona,Catalunya
Canovelles,Vallès Oriental,16829,Barcelona,Catalunya
Cantallops,Alt Empordà,309,Girona,Catalunya
Canyelles,Garraf,4699,Barcelona,Catalunya
Capafonts,Baix Camp,111,Tarragona,Catalunya
Capellades,Anoia,5342,Barcelona,Catalunya
Capolat,Berguedà,84,Barcelona,Catalunya
Capçanes,Priorat,392,Tarragona,Catalunya
Cardedeu,Vallès Oriental,18424,Barcelona,Catalunya
Cardona,Bages,4639,Barcelona,Catalunya
Carme,Anoia,785,Barcelona,Catalunya
Caseres,Terra Alta,237,Tarragona,Catalunya
Casserres,Berguedà,1588,Barcelona,Catalunya
Cassà de la Selva,Gironès,10410,Girona,Catalunya
"Castell d'Aro, Platja d'Aro i s'Agaró",Baix Empordà,11030,Girona,Catalunya
Castell de Mur,Pallars Jussà,173,Lleida,Catalunya
Castell de l'Areny,Berguedà,67,Barcelona,Catalunya
Castellar de la Ribera,Solsonès,131,Lleida,Catalunya
Castellar de n'Hug,Berguedà,156,Barcelona,Catalunya
Castellar del Riu,Berguedà,176,Barcelona,Catalunya
Castellar del Vallès,Vallès Occidental,24488,Barcelona,Catalunya
Castellbell i el Vilar,Bages,3719,Barcelona,Catalunya
Castellbisbal,Vallès Occidental,12540,Barcelona,Catalunya
Castellcir,Moianès,742,Barcelona,Catalunya
Castelldans,Garrigues,930,Lleida,Catalunya
Castelldefels,Baix Llobregat,67460,Barcelona,Catalunya
Castellet i la Gornal,Alt Penedès,2382,Barcelona,Catalunya
Castellfollit de Riubregós,Anoia,162,Barcelona,Catalunya
Castellfollit de la Roca,Garrotxa,947,Girona,Catalunya
Castellfollit del Boix,Bages,447,Barcelona,Catalunya
Castellgalí,Bages,2119,Barcelona,Catalunya
Castellnou de Bages,Bages,1437,Barcelona,Catalunya
Castellnou de Seana,Pla d'Urgell,665,Lleida,Catalunya
Castellolí,Anoia,626,Barcelona,Catalunya
Castellserà,Urgell,996,Lleida,Catalunya
Castellterçol,Moianès,2548,Barcelona,Catalunya
Castellvell del Camp,Baix Camp,2828,Tarragona,Catalunya
Castellví de Rosanes,Baix Llobregat,1933,Barcelona,Catalunya
Castellví de la Marca,Alt Penedès,1575,Barcelona,Catalunya
Castelló d'Empúries,Alt Empordà,11100,Girona,Catalunya
Castelló de Farfanya,Noguera,539,Lleida,Catalunya
Cava,Alt Urgell,45,Lleida,Catalunya
Celrà,Gironès,5561,Girona,Catalunya
Centelles,Osona,7513,Barcelona,Catalunya
Cercs,Berguedà,1150,Barcelona,Catalunya
Cerdanyola del Vallès,Vallès Occidental,57855,Barcelona,Catalunya
Cervelló,Baix Llobregat,9077,Barcelona,Catalunya
Cervera,Segarra,9350,Lleida,Catalunya
Cervià de Ter,Gironès,966,Girona,Catalunya
Cervià de les Garrigues,Garrigues,662,Lleida,Catalunya
Cistella,Alt Empordà,282,Girona,Catalunya
Ciutadilla,Urgell,208,Lleida,Catalunya
Clariana de Cardener,Solsonès,161,Lleida,Catalunya
Colera,Alt Empordà,445,Girona,Catalunya
Coll de Nargó,Alt Urgell,540,Lleida,Catalunya
Collbató,Baix Llobregat,4544,Barcelona,Catalunya
Colldejou,Baix Camp,168,Tarragona,Catalunya
Collsuspina,Moianès,359,Barcelona,Catalunya
Colomers,Baix Empordà,174,Girona,Catalunya
Conca de Dalt,Pallars Jussà,410,Lleida,Catalunya
Conesa,Conca de Barberà,100,Tarragona,Catalunya
Constantí,Tarragonès,6665,Tarragona,Catalunya
Copons,Anoia,321,Barcelona,Catalunya
Corbera d'Ebre,Terra Alta,1003,Tarragona,Catalunya
Corbera de Llobregat,Baix Llobregat,14882,Barcelona,Catalunya
Corbins,Segrià,1462,Lleida,Catalunya
Cornellà de Llobregat,Baix Llobregat,89936,Barcelona,Catalunya
Cornellà del Terri,Pla de l'Estany,2399,Girona,Catalunya
Cornudella de Montsant,Priorat,944,Tarragona,Catalunya
Corçà,Baix Empordà,1268,Girona,Catalunya
Creixell,Tarragonès,3758,Tarragona,Catalunya
Crespià,Pla de l'Estany,254,Girona,Catalunya
"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,1270,Girona,Catalunya
Cubelles,Garraf,15770,Barcelona,Catalunya
Cubells,Noguera,338,Lleida,Catalunya
Cunit,Baix Penedès,13533,Tarragona,Catalunya
Cànoves i Samalús,Vallès Oriental,3156,Barcelona,Catalunya
Darnius,Alt Empordà,537,Girona,Catalunya
Das,Cerdanya,234,Girona,Catalunya
Deltebre,Baix Ebre,11578,Tarragona,Catalunya
Dosrius,Maresme,5652,Barcelona,Catalunya
Duesaigües,Baix Camp,244,Tarragona,Catalunya
Es Bòrdes,Vall d'Aran,255,Lleida,Catalunya
Esparreguera,Baix Llobregat,22302,Barcelona,Catalunya
Espinelves,Osona,221,Girona,Catalunya
Esplugues de Llobregat,Baix Llobregat,47150,Barcelona,Catalunya
Espolla,Alt Empordà,412,Girona,Catalunya
Esponellà,Pla de l'Estany,463,Girona,Catalunya
Espot,Pallars Sobirà,366,Lleida,Catalunya
Estamariu,Alt Urgell,125,Lleida,Catalunya
Estaràs,Segarra,156,Lleida,Catalunya
Esterri d'Àneu,Pallars Sobirà,804,Lleida,Catalunya
Esterri de Cardós,Pallars Sobirà,64,Lleida,Catalunya
Falset,Priorat,2735,Tarragona,Catalunya
Farrera,Pallars Sobirà,108,Lleida,Catalunya
Figueres,Alt Empordà,47235,Girona,Catalunya
Figuerola del Camp,Alt Camp,329,Tarragona,Catalunya
Flaçà,Gironès,1130,Girona,Catalunya
Flix,Ribera d'Ebre,3410,Tarragona,Catalunya
Fogars de Montclús,Vallès Oriental,475,Barcelona,Catalunya
Fogars de la Selva,Selva,1469,Girona,Catalunya
Foixà,Baix Empordà,303,Girona,Catalunya
Folgueroles,Osona,2265,Barcelona,Catalunya
Fondarella,Pla d'Urgell,776,Lleida,Catalunya
Fonollosa,Bages,1459,Barcelona,Catalunya
Font-rubí,Alt Penedès,1414,Barcelona,Catalunya
Fontanals de Cerdanya,Cerdanya,437,Girona,Catalunya
Fontanilles,Baix Empordà,146,Girona,Catalunya
Fontcoberta,Pla de l'Estany,1469,Girona,Catalunya
Foradada,Noguera,203,Lleida,Catalunya
Fornells de la Selva,Gironès,2670,Girona,Catalunya
Fortià,Alt Empordà,787,Girona,Catalunya
Forès,Conca de Barberà,43,Tarragona,Catalunya
Freginals,Montsià,385,Tarragona,Catalunya
Fulleda,Garrigues,102,Lleida,Catalunya
Fígols,Berguedà,43,Barcelona,Catalunya
Fígols i Alinyà,Alt Urgell,244,Lleida,Catalunya
Gaià,Bages,183,Barcelona,Catalunya
Gallifa,Vallès Occidental,167,Barcelona,Catalunya
Gandesa,Terra Alta,3096,Tarragona,Catalunya
Garcia,Ribera d'Ebre,527,Tarragona,Catalunya
Garrigoles,Baix Empordà,167,Girona,Catalunya
Garriguella,Alt Empordà,853,Girona,Catalunya
Garrigàs,Alt Empordà,451,Girona,Catalunya
Gavet de la Conca,Pallars Jussà,261,Lleida,Catalunya
Gavà,Baix Llobregat,47057,Barcelona,Catalunya
Gelida,Alt Penedès,7670,Barcelona,Catalunya
Ger,Cerdanya,449,Girona,Catalunya
Gimenells i el Pla de la Font,Segrià,1120,Lleida,Catalunya
Ginestar,Ribera d'Ebre,764,Tarragona,Catalunya
Girona,Gironès,103369,Girona,Catalunya
Gironella,Berguedà,4946,Barcelona,Catalunya
Gisclareny,Berguedà,26,Barcelona,Catalunya
Godall,Montsià,598,Tarragona,Catalunya
Golmés,Pla d'Urgell,1855,Lleida,Catalunya
Gombrèn,Ripollès,192,Girona,Catalunya
Granera,Moianès,77,Barcelona,Catalunya
Granollers,Vallès Oriental,62419,Barcelona,Catalunya
Granyanella,Segarra,143,Lleida,Catalunya
Granyena de Segarra,Segarra,151,Lleida,Catalunya
Granyena de les Garrigues,Garrigues,140,Lleida,Catalunya
Gratallops,Priorat,237,Tarragona,Catalunya
Gualba,Vallès Oriental,1548,Barcelona,Catalunya
Gualta,Baix Empordà,402,Girona,Catalunya
Guardiola de Berguedà,Berguedà,941,Barcelona,Catalunya
Guils de Cerdanya,Cerdanya,549,Girona,Catalunya
Guimerà,Urgell,271,Lleida,Catalunya
Guissona,Segarra,7248,Lleida,Catalunya
Guixers,Solsonès,132,Lleida,Catalunya
Gurb,Osona,2713,Barcelona,Catalunya
Gósol,Berguedà,206,Lleida,Catalunya
Horta de Sant Joan,Terra Alta,1146,Tarragona,Catalunya
Hostalric,Selva,4291,Girona,Catalunya
Igualada,Anoia,40742,Barcelona,Catalunya
Isona i Conca Dellà,Pallars Jussà,1042,Lleida,Catalunya
Isòvol,Cerdanya,281,Girona,Catalunya
Ivars d'Urgell,Pla d'Urgell,1537,Lleida,Catalunya
Ivars de Noguera,Noguera,332,Lleida,Catalunya
Ivorra,Segarra,108,Lleida,Catalunya
Jafre,Baix Empordà,387,Girona,Catalunya
Jorba,Anoia,833,Barcelona,Catalunya
Josa i Tuixén,Alt Urgell,103,Lleida,Catalunya
Juià,Gironès,319,Girona,Catalunya
Juncosa,Garrigues,395,Lleida,Catalunya
Juneda,Garrigues,3501,Lleida,Catalunya
L'Estany,Moianès,408,Barcelona,Catalunya
Les,Vall d'Aran,971,Lleida,Catalunya
Linyola,Pla d'Urgell,2717,Lleida,Catalunya
Lladorre,Pallars Sobirà,237,Lleida,Catalunya
Lladurs,Solsonès,180,Lleida,Catalunya
Llagostera,Gironès,8647,Girona,Catalunya
Llambilles,Gironès,713,Girona,Catalunya
Llanars,Ripollès,535,Girona,Catalunya
Llançà,Alt Empordà,4775,Girona,Catalunya
Llardecans,Segrià,444,Lleida,Catalunya
Llavorsí,Pallars Sobirà,346,Lleida,Catalunya
Lledó,Alt Empordà,844,Girona,Catalunya
Lleida,Segrià,140403,Lleida,Catalunya
Llers,Alt Empordà,1237,Girona,Catalunya
Lles de Cerdanya,Cerdanya,270,Lleida,Catalunya
Llimiana,Pallars Jussà,146,Lleida,Catalunya
Llinars del Vallès,Vallès Oriental,10018,Barcelona,Catalunya
Lliçà d'Amunt,Vallès Oriental,15469,Barcelona,Catalunya
Lliçà de Vall,Vallès Oriental,6497,Barcelona,Catalunya
Llobera,Solsonès,188,Lleida,Catalunya
Llorac,Conca de Barberà,91,Tarragona,Catalunya
Llorenç del Penedès,Baix Penedès,2395,Tarragona,Catalunya
Lloret de Mar,Selva,39089,Girona,Catalunya
Lluçà,Lluçanès,276,Barcelona,Catalunya
Llívia,Cerdanya,1431,Girona,Catalunya
Madremanya,Gironès,288,Girona,Catalunya
Maials,Segrià,909,Lleida,Catalunya
Maià de Montcal,Garrotxa,463,Girona,Catalunya
Maldà,Urgell,227,Lleida,Catalunya
Malgrat de Mar,Maresme,18772,Barcelona,Catalunya
Malla,Osona,272,Barcelona,Catalunya
Manlleu,Osona,20912,Barcelona,Catalunya
Manresa,Bages,78245,Barcelona,Catalunya
Margalef,Priorat,106,Tarragona,Catalunya
Marganell,Bages,266,Barcelona,Catalunya
Martorell,Baix Llobregat,28772,Barcelona,Catalunya
Martorelles,Vallès Oriental,4820,Barcelona,Catalunya
Marçà,Priorat,600,Tarragona,Catalunya
Mas de Barberans,Montsià,564,Tarragona,Catalunya
Masarac,Alt Empordà,288,Girona,Catalunya
Masdenverge,Montsià,1071,Tarragona,Catalunya
Masllorenç,Baix Penedès,505,Tarragona,Catalunya
Maspujols,Baix Camp,823,Tarragona,Catalunya
Masquefa,Anoia,9402,Barcelona,Catalunya
Massalcoreig,Segrià,610,Lleida,Catalunya
Massanes,Selva,796,Girona,Catalunya
Massoteres,Segarra,212,Lleida,Catalunya
Matadepera,Vallès Occidental,9496,Barcelona,Catalunya
Mataró,Maresme,129661,Barcelona,Catalunya
Maçanet de Cabrenys,Alt Empordà,698,Girona,Catalunya
Maçanet de la Selva,Selva,7066,Girona,Catalunya
Mediona,Alt Penedès,2369,Barcelona,Catalunya
Menàrguens,Noguera,813,Lleida,Catalunya
Meranges,Cerdanya,100,Girona,Catalunya
Mieres,Garrotxa,345,Girona,Catalunya
Miralcamp,Pla d'Urgell,1385,Lleida,Catalunya
Miravet,Ribera d'Ebre,706,Tarragona,Catalunya
Moià,Moianès,6383,Barcelona,Catalunya
Molins de Rei,Baix Llobregat,25940,Barcelona,Catalunya
Mollerussa,Pla d'Urgell,14649,Lleida,Catalunya
Mollet de Peralada,Alt Empordà,198,Girona,Catalunya
Mollet del Vallès,Vallès Oriental,51600,Barcelona,Catalunya
Molló,Ripollès,336,Girona,Catalunya
Monistrol de Calders,Moianès,702,Barcelona,Catalunya
Monistrol de Montserrat,Bages,3139,Barcelona,Catalunya
Mont-ral,Alt Camp,168,Tarragona,Catalunya
Mont-ras,Baix Empordà,1680,Girona,Catalunya
Mont-roig del Camp,Baix Camp,12460,Tarragona,Catalunya
Montagut i Oix,Garrotxa,930,Girona,Catalunya
Montblanc,Conca de Barberà,7379,Tarragona,Catalunya
Montbrió del Camp,Baix Camp,2909,Tarragona,Catalunya
Montcada i Reixac,Vallès Occidental,36803,Barcelona,Catalunya
Montclar,Berguedà,139,Barcelona,Catalunya
Montellà i Martinet,Cerdanya,578,Lleida,Catalunya
Montesquiu,Osona,1030,Barcelona,Catalunya
Montferrer i Castellbò,Alt Urgell,1034,Lleida,Catalunya
Montferri,Alt Camp,403,Tarragona,Catalunya
Montgai,Noguera,643,Lleida,Catalunya
Montgat,Maresme,12200,Barcelona,Catalunya
Montmajor,Berguedà,469,Barcelona,Catalunya
Montmaneu,Anoia,151,Barcelona,Catalunya
Montmeló,Vallès Oriental,8831,Barcelona,Catalunya
Montoliu de Lleida,Segrià,483,Lleida,Catalunya
Montoliu de Segarra,Segarra,187,Lleida,Catalunya
Montornès de Segarra,Segarra,96,Lleida,Catalunya
Montornès del Vallès,Vallès Oriental,16644,Barcelona,Catalunya
Montseny,Vallès Oriental,351,Barcelona,Catalunya
Muntanyola,Osona,632,Barcelona,Catalunya
Mura,Bages,220,Barcelona,Catalunya
Móra d'Ebre,Ribera d'Ebre,5695,Tarragona,Catalunya
Móra la Nova,Ribera d'Ebre,3108,Tarragona,Catalunya
Nalec,Urgell,90,Lleida,Catalunya
Naut Aran,Vall d'Aran,1836,Lleida,Catalunya
Navarcles,Bages,6057,Barcelona,Catalunya
Navars,Bages,6018,Barcelona,Catalunya
Navata,Alt Empordà,1427,Girona,Catalunya
Navès,Solsonès,284,Lleida,Catalunya
Nulles,Alt Camp,509,Tarragona,Catalunya
Odèn,Solsonès,258,Lleida,Catalunya
Ogassa,Ripollès,240,Girona,Catalunya
Olesa de Bonesvalls,Alt Penedès,1840,Barcelona,Catalunya
Olesa de Montserrat,Baix Llobregat,24144,Barcelona,Catalunya
Oliana,Alt Urgell,1843,Lleida,Catalunya
Oliola,Noguera,203,Lleida,Catalunya
Olius,Solsonès,981,Lleida,Catalunya
Olivella,Garraf,3935,Barcelona,Catalunya
Olost,Lluçanès,1202,Barcelona,Catalunya
Olot,Garrotxa,35926,Girona,Catalunya
Olvan,Berguedà,858,Barcelona,Catalunya
Olèrdola,Alt Penedès,3768,Barcelona,Catalunya
Ordis,Alt Empordà,361,Girona,Catalunya
Organyà,Alt Urgell,771,Lleida,Catalunya
Oristà,Lluçanès,549,Barcelona,Catalunya
Orpí,Anoia,151,Barcelona,Catalunya
Orís,Osona,322,Barcelona,Catalunya
Os de Balaguer,Noguera,980,Lleida,Catalunya
Osor,Selva,428,Girona,Catalunya
Ossó de Sió,Urgell,203,Lleida,Catalunya
Pacs del Penedès,Alt Penedès,918,Barcelona,Catalunya
Palafolls,Maresme,9613,Barcelona,Catalunya
Palafrugell,Baix Empordà,23244,Girona,Catalunya
Palamós,Baix Empordà,18135,Girona,Catalunya
Palau de Santa Eulàlia,Alt Empordà,90,Girona,Catalunya
Palau-sator,Baix Empordà,310,Girona,Catalunya
Palau-saverdera,Alt Empordà,1456,Girona,Catalunya
Palau-solità i Plegamans,Vallès Occidental,14892,Barcelona,Catalunya
Pallejà,Baix Llobregat,11622,Barcelona,Catalunya
Palol de Revardit,Pla de l'Estany,448,Girona,Catalunya
Pals,Baix Empordà,2395,Girona,Catalunya
Pardines,Ripollès,169,Girona,Catalunya
Parets del Vallès,Vallès Oriental,19071,Barcelona,Catalunya
Parlavà,Baix Empordà,391,Girona,Catalunya
Passanant i Belltall,Conca de Barberà,155,Tarragona,Catalunya
Pau,Alt Empordà,557,Girona,Catalunya
Paüls,Baix Ebre,545,Tarragona,Catalunya
Pedret i Marzà,Alt Empordà,191,Girona,Catalunya
Penelles,Noguera,436,Lleida,Catalunya
Perafita,Lluçanès,405,Barcelona,Catalunya
Perafort,Tarragonès,1264,Tarragona,Catalunya
Peralada,Alt Empordà,1898,Girona,Catalunya
Peramola,Alt Urgell,347,Lleida,Catalunya
Piera,Anoia,16134,Barcelona,Catalunya
Pineda de Mar,Maresme,27984,Barcelona,Catalunya
Pinell de Solsonès,Solsonès,193,Lleida,Catalunya
Pinós,Solsonès,286,Lleida,Catalunya
Pira,Conca de Barberà,503,Tarragona,Catalunya
Planoles,Ripollès,304,Girona,Catalunya
Poboleda,Priorat,321,Tarragona,Catalunya
Polinyà,Vallès Occidental,8504,Barcelona,Catalunya
Pont de Molins,Alt Empordà,516,Girona,Catalunya
Pontils,Conca de Barberà,122,Tarragona,Catalunya
Pontons,Alt Penedès,528,Barcelona,Catalunya
Ponts,Noguera,2644,Lleida,Catalunya
Pontós,Alt Empordà,260,Girona,Catalunya
Porqueres,Pla de l'Estany,4677,Girona,Catalunya
Porrera,Priorat,424,Tarragona,Catalunya
Portbou,Alt Empordà,1063,Girona,Catalunya
Pradell de la Teixeta,Priorat,158,Tarragona,Catalunya
Prades,Baix Camp,588,Tarragona,Catalunya
Prat de Comte,Terra Alta,177,Tarragona,Catalunya
Pratdip,Baix Camp,726,Tarragona,Catalunya
Prats de Lluçanès,Lluçanès,2604,Barcelona,Catalunya
Prats i Sansor,Cerdanya,222,Lleida,Catalunya
Preixana,Urgell,387,Lleida,Catalunya
Preixens,Noguera,418,Lleida,Catalunya
Premià de Dalt,Maresme,10441,Barcelona,Catalunya
Premià de Mar,Maresme,28531,Barcelona,Catalunya
Prullans,Cerdanya,226,Lleida,Catalunya
Puig-reig,Berguedà,4295,Barcelona,Catalunya
Puigcerdà,Cerdanya,9486,Girona,Catalunya
Puigdàlber,Alt Penedès,524,Barcelona,Catalunya
Puiggròs,Garrigues,278,Lleida,Catalunya
Puigpelat,Alt Camp,1163,Tarragona,Catalunya
Puigverd d'Agramunt,Urgell,229,Lleida,Catalunya
Puigverd de Lleida,Segrià,1349,Lleida,Catalunya
Pujalt,Anoia,210,Barcelona,Catalunya
Quart,Gironès,3798,Girona,Catalunya
Queralbs,Ripollès,188,Girona,Catalunya
Querol,Alt Camp,518,Tarragona,Catalunya
Rabós,Alt Empordà,184,Girona,Catalunya
Rajadell,Bages,534,Barcelona,Catalunya
Rasquera,Ribera d'Ebre,783,Tarragona,Catalunya
Regencós,Baix Empordà,276,Girona,Catalunya
Rellinars,Vallès Occidental,809,Barcelona,Catalunya
Renau,Tarragonès,162,Tarragona,Catalunya
Reus,Baix Camp,106168,Tarragona,Catalunya
Rialb,Pallars Sobirà,641,Lleida,Catalunya
Riba-roja d'Ebre,Ribera d'Ebre,1110,Tarragona,Catalunya
Ribera d'Ondara,Segarra,433,Lleida,Catalunya
Ribera d'Urgellet,Alt Urgell,932,Lleida,Catalunya
