Cava,Puntuació,id,Municipi,id_cava
Marqués de Benach,421.89,30213,La Granada (Barcelona,6269
Mas de la Basserola,421.56,4498,El Pla de Manlleu,221
Torrens Moliner,420.56,300,Sant Sadurní d'Anoia,352
Gran Barón - (Vallformosa),420.5,13979,Vilobí del Penedès,431
Bolet,420.01,18369,Castellví de la Marca,47
J. Mir Vidal,419.54,959,Sant Sadurní d'Anoia,243
Martín Soler,419.44,9174,Vilafranca del Penedès,218
Genèriques colors,419.39,509,,3508
Tres Tombs,419.04,25207,-,610
Colomer Costa,418.88,2018,Sant Sadurní d'Anoia,503
El Celleret,418.12,71623,Sant Sadurní d'Anoia,4100
Castell de Vilarnau,415.95,257,Sant Sadurní d'Anoia,74
Cases Ribalta,413.56,2050,Barcelona,488
Nu Allongé,412.68,101531,Castellet i la Gornal,261
Josep M. Ferret  Guasch,412.64,32655,Font-Rubí,182
Masia Torreblanca,412.26,2674,Sant Miquel d'Olèrdola,235
Colomer - (Bernat),411.98,2274,Sant Sadurní d'Anoia,90
Ferret i Mateu,411.17,17749,Santa Margarida i els Monjos,131
Vives Ambròs - Aida de,411.02,50662,Montferri,379
Romagosa Torné,410.93,538,Sant Martí Sarroca,319
Cardoner,410.81,80,Sant Sadurní d'Anoia,65
Eclosió - (de A & S),410.62,191648,El Pla del Penedès,8181
Monegal Cerdà,409.6,68977,Sant Feliu de Guixols,429
ClicquotFrança (champagne),409.36,23879,,656
Miret,408.53,140,Barcelona,244
Marques de la Concordia - M,408.49,203959,Madrid,7423
El Mas Ferrer,407.58,1412,Subirats,121
Varias,407.31,38022,Sant Sadurní d'Anoia,5428
Magrinyà Calaf,406.2,126,Nulles,202
Jaume Creixell,406.19,2729,Barcelona,168
Trias,406.1,43525,Vilafranca del Penedès,355
Alsinac - (M.),404.68,120356,-,5255
Chandon,403.11,594,-,86
Solium,401.71,21302,Sant Sadurní d'Anoia,407
J. García Carrión Vegaverde - E,401.67,78837,Daimiel,4192
Terrer de la Creu,401.29,26743,Manresa,3465
Empreses,400.76,12036,,108
Arxiduc de Mont-Palau,398.3,93102,La Granada,17
Soler Jové,398.02,5862,Sant Sadurní d'Anoia,344
Júlia Bernet,397.33,9722,Subirats,504
El Xamfrà,396.85,718,Sant Sadurní d'Anoia,380
Olivella i Bonet S.A.,396.1,448,L'Arboç,265
Guilera,395.44,260,Subirats,155
DonelliItàlia ICRF,394.55,2926,,659
Gibert,394.04,1551,Artés,148
L'Origan,393.94,4273,Sant Sadurní d'Anoia,450
Louis de Vernier,392.3,137163,Torrelles de Foix,444
Masachs,391.9,38225,Torrelles de Foix,230
Empreses - Caixa Penedès,391.77,12037,,108
Masia d'Or,390.65,136991,-,5723
Dominio de la Vega - E,389.47,33664,San Antonio,456
Parató,389.07,633,El Pla del Penedès,273
Monastell,388.93,4030,Sant Sadurní d'Anoia,247
Coop. Llorenç del Penedès,388.93,726,Llorenç del Penedès,94
Montsarra,388.84,3847,Torrelles de Foix,254
Mas Suau,388.63,36768,La Granada,502
Julià & Navinés,388.32,28334,Font-Rubí,187
Roig y Ollé,387.35,52077,Sant Sadurní d'Anoia,464
Es Trac,385.85,29379,Barcelona,515
Sadurní Comas Codorniu,385.76,677,Sant Sadurní d'Anoia,334
Fuchs de Vidal,385.66,456,El Pla del Penedès,141
D'Ishern,384.32,1416,El Papiol,112
Canals & Nubiola,382.93,4950,Sant Sadurní d'Anoia,59
Dolina - Vall Dolina,381.22,93365,Olesa de Bonesvalls,4540
Langa - E,380.85,26430,Calatayud,195
Capità Vidal,379.86,122951,El Pla del Penedès,64
Vinya Escudé Maioles,378.25,10817,Sant Quintí de Mediona,3247
Berral i Miró,377.42,76771,Sant Sadurní d'Anoia,37
Anna Amigó Agulled,376.82,31267,Sant Sadurní d'Anoia,605
Benito Escudero - E,376.6,17,Grávalos,33
Bonet & Cabestany,375.34,3141,Sant Sadurní d'Anoia,50
Casteller - Covides,375.1,130694,Sant Sadurní,6505
Valldosera,375.0,1919,Olèrdola,359
René Barbier,374.42,29213,Sant Cugat de Sesgarrigues,3464
J. Colet,374.4,10139,Pacs del Penedès,181
Gorg del Glaç,373.97,2709,Sant Jaume dels Domenys,877
Rosell & Gallart,373.82,211,Sant Sadurní d'Anoia,323
Anna Gabarró,373.45,1580,Piera,11
Mas Bertran,372.3,32984,Sant Martí Sarroca,3457
Torné & Bel,372.28,717,Sant Sadurní d'Anoia,349
Casteller,372.22,327,Vilafranca del Penedès,392
Gran Ducay Bodegas - E,372.16,11905,Cariñena,3256
Cuscó i Comas,372.04,3396,Piera,102
Espelt,371.97,109538,Vilajuïga,127
"Capel Vinos, S.A. - E",371.76,21883,Espinardo,3390
Olivé Batllori,371.1,2975,Subirats,263
Faustino - E,370.61,1060,Oyón,129
TaittingerFrança (champagne),370.53,27404,,706
Josep Carreras,367.46,696,Sant Llorenç d'Hortons,180
Ferré i Catasús,367.21,582,La Granada,4573
Francesc Ollé Amat,366.73,127,Castellví de Rosanes,137
Castell de Marmeralt,364.37,22710,Les Masies de Voltregà,460
Celler Mariol,364.3,1368,Batea,469
Cum Laude,364.09,81723,Sant Sadurní d'Anoia,100
Lluís Guitart,363.55,89625,Artés,451
Maria Oliver Portí,363.16,4679,Sant Sadurní d'Anoia,206
Grau Dòria,362.62,55420,Canyelles,152
RS Ràfols Surià,361.75,8646,Sant Sadurní d'Anoia,303
Esmel J. Esmel San Sadurní de Noya,360.7,1165,Sant Sadurní d'Anoia,126
Alella Vinícola Can Jonc,360.41,12744,Alella,6
Gabarró Isart,357.91,2156,Piera,143
Civ & CivItàlia,357.82,2219,,658
Mil·liari,357.51,230,La Bisbal del Penedès,240
Olivella Ventosa,357.47,12350,Font-Rubí,267
